MAL_ID	Name	Score	Genres	English name	Japanese name	Type	Episodes	Aired	Premiered	Producers	Licensors	Studios	Source	Duration	Rating	Ranked	Popularity	Members	Favorites	Watching	Completed	On-Hold	Dropped	Plan to Watch	Score-10	Score-9	Score-8	Score-7	Score-6	Score-5	Score-4	Score-3	Score-2	Score-1
86	Mobile Suit Gundam ZZ	6,66	Space, Comedy, Mecha, Military, Drama, Sci-Fi	Mobile Suit Gundam ZZ	________ZZ	TV	47	Mar 1, 1986 to Jan 31, 1987	Spring 1986	Sotsu, Nagoya Broadcasting Network	Nozomi Entertainment	Sunrise	Original	24 min. per ep.	PG-13 - Teens 13 or older	5111	2941	30758	130	1647	18408	1354	917	8432	622	1062	2740	4440	2977	1601	930	372	182	115
87	Mobile Suit Gundam: Char's Counterattack	7,68	Military, Sci-Fi, Space, Drama, Mecha	Mobile Suit Gundam:Char's Counterattack	________ ______	Movie	1	Mar 12, 1988	Unknown	Sotsu, Nozomi Entertainment, Atelier Musa	Bandai Entertainment	Sunrise, Studio Hibari	Novel	1 hr. 59 min.	PG-13 - Teens 13 or older	1084	2773	34221	293	437	25957	233	171	7423	2400	3571	5995	4692	1865	824	376	147	69	54
88	Mobile Suit Gundam F91	6,67	Drama, Mecha, Military, Sci-Fi, Space	Mobile Suit Gundam F91	_________91	Movie	1	Mar 16, 1991	Unknown	Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network	Nozomi Entertainment, Bandai Entertainment	Sunrise	Unknown	2 hr.	PG-13 - Teens 13 or older	5049	3387	23161	63	357	16731	207	193	5673	530	892	2239	3834	2824	1462	649	221	93	52
89	Mobile Suit Victory Gundam	6,76	Drama, Mecha, Military, Sci-Fi, Space	Mobile Suit V Gundam	____V____	TV	51	Apr 2, 1993 to Mar 25, 1994	Spring 1993	TV Asahi, Sotsu, Apollon	Nozomi Entertainment	Sunrise, Studio Deen	Original	24 min. per ep.	PG-13 - Teens 13 or older	4632	3588	20794	95	1225	10068	1094	628	7779	430	735	1589	2272	1406	796	487	240	90	89
90	Mobile Suit Gundam Wing	7,72	Action, Military, Sci-Fi, Space, Drama, Mecha	Mobile Suit Gundam Wing	_________W	TV	49	Apr 7, 1995 to Mar 29, 1996	Spring 1995	TV Asahi	Bandai Entertainment	Sunrise	Original	24 min. per ep.	PG-13 - Teens 13 or older	984	1118	132208	2538	5922	95155	5945	4411	20775	9965	13704	21396	18315	7559	3460	1507	518	210	175
91	Mobile Suit Gundam Wing: Endless Waltz	7,76	Action, Drama, Mecha, Military, Sci-Fi, Space	Mobile Suit Gundam Wing:Endless Waltz	_________W _________	OVA	3	Jan 25, 1997 to Jul 25, 1997	Unknown	Bandai Visual, Sotsu	Bandai Entertainment	Sunrise	Original	30 min. per ep.	PG-13 - Teens 13 or older	897	2512	41030	221	500	34369	280	250	5631	3190	4480	6953	5766	2210	921	307	127	54	50
92	After War Gundam X	7,32	Sci-Fi, Adventure, Space, Drama, Mecha	After War Gundam X	_________X	TV	39	Apr 5, 1996 to Dec 28, 1996	Spring 1996	TV Asahi, Sotsu	Nozomi Entertainment	Sunrise	Original	24 min. per ep.	PG-13 - Teens 13 or older	2228	3043	28862	189	1554	15987	1746	983	8592	788	1633	3412	3998	1801	813	304	100	43	39
93	Mobile Suit Gundam SEED	7,79	Action, Drama, Mecha, Military, Romance, Sci-Fi, Space	Mobile Suit Gundam SEED	________SEED	TV	50	Oct 5, 2002 to Sep 27, 2003	Fall 2002	Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa	Bandai Entertainment, NYAV Post	Sunrise	Original	24 min. per ep.	R - 17+ (violence & profanity)	850	1057	140346	3584	4898	101920	4589	5021	23918	11353	15863	22505	17695	7560	3710	1701	762	379	404
94	Mobile Suit Gundam SEED Destiny	7,22	Action, Drama, Mecha, Military, Romance, Sci-Fi, Space	Unknown	________SEED DESTINY	TV	50	Oct 9, 2004 to Oct 1, 2005	Fall 2004	Sotsu, Mainichi Broadcasting System, Sony Music Entertainment	Bandai Entertainment, NYAV Post	Sunrise	Original	24 min. per ep.	R - 17+ (violence & profanity)	2687	1530	90208	1206	2210	70845	2251	2749	12153	5979	8245	12662	12913	6928	3887	2752	1300	865	584
95	Turn A Gundam	7,7	Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha	_ Gundam	_____	TV	50	Apr 9, 1999 to Apr 14, 2000	Spring 1999	Sotsu, Fuji TV	Nozomi Entertainment	Sunrise, Nakamura Production	Original	24 min. per ep.	PG-13 - Teens 13 or older	1018	2714	35670	760	2378	14651	2327	1448	14866	1815	2212	3129	2892	1403	706	299	127	87	66
96	Mobile Fighter G Gundam	7,56	Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports	Mobile Fighter G Gundam	_____G____	TV	49	Apr 1, 1994 to Mar 31, 1995	Spring 1994	TV Asahi, Sotsu	Bandai Entertainment	Sunrise	Original	24 min. per ep.	PG-13 - Teens 13 or older	1396	2109	55463	896	2499	38653	2505	1607	10199	3208	4873	8426	8118	3463	1607	696	279	129	104
97	Last Exile	7,82	Action, Sci-Fi, Adventure	Last Exile	LAST EXILE__________	TV	26	Apr 8, 2003 to Sep 30, 2003	Spring 2003	GDH, Victor Entertainment, TV Tokyo Music	Funimation, Geneon Entertainment USA	Gonzo	Original	24 min. per ep.	PG-13 - Teens 13 or older	795	995	149528	1848	5943	77235	6541	5038	54771	7078	12558	20122	14844	5886	2579	825	286	140	109
98	Mai-HiME	7,46	Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai	My-Hime	_-HiME	TV	26	Sep 30, 2004 to Mar 31, 2005	Fall 2004	Bandai Visual, TV Tokyo Music, Studio Zain	Funimation, Bandai Entertainment	Sunrise	Original	23 min. per ep.	PG-13 - Teens 13 or older	1698	1381	101495	1262	3442	60321	3690	4215	29827	4076	7287	12622	12897	6091	3053	1129	391	211	191
99	Mai-Otome	7,31	Comedy, Drama, Fantasy, Magic	My-Otome	_-_HiME	TV	26	Oct 7, 2005 to Mar 31, 2006	Fall 2005	Bandai Visual, Lantis, TV Tokyo Music	Funimation, Bandai Entertainment	Sunrise	Original	24 min. per ep.	PG-13 - Teens 13 or older	2308	2370	46018	333	1147	31335	1222	1598	10716	1673	3271	5798	6647	3441	1676	706	242	128	101
100	Shin Shirayuki-hime Densetsu Prétear	7,2	Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power	Prétear:The New Legend of Snow White	____________	TV	13	Apr 4, 2001 to Jun 27, 2001	Spring 2001	Kadokawa Shoten, Rondo Robe	ADV Films, Funimation	Hal Film Maker	Manga	23 min. per ep.	PG-13 - Teens 13 or older	2785	2162	53508	457	1607	33827	1504	1760	14810	2198	3135	5368	7030	4152	2306	783	270	127	98
101	Air	7,32	Slice of Life, Supernatural, Drama, Romance	Air	AIR	TV	12	Jan 7, 2005 to Mar 25, 2005	Winter 2005	Pony Canyon, TBS, Movic	ADV Films, Funimation	Kyoto Animation	Visual novel	24 min. per ep.	PG-13 - Teens 13 or older	2230	563	259381	2704	7367	170036	8109	9992	63877	15057	20060	31042	33295	19368	10463	4988	2039	1105	803
102	Aishiteruze Baby__	7,48	Comedy, Drama, Romance, Shoujo	Unknown	_____ _____	TV	26	Apr 3, 2004 to Oct 9, 2004	Spring 2004	Animax, Toei Video, Sunny Side Up	Unknown	TMS Entertainment	Manga	25 min. per ep.	PG-13 - Teens 13 or older	1634	1529	89533	571	3772	59770	4008	4946	17037	4497	7282	12321	12618	6389	3227	1069	426	187	180
103	Akazukin Chacha	7,39	Adventure, Comedy, Fantasy, Magic, Romance, Shoujo	Red Riding Hood Chacha	________	TV	74	Jan 7, 1994 to Jun 30, 1995	Winter 1994	Nihon Ad Systems, Shueisha	Unknown	Gallop	Manga	24 min. per ep.	G - All Ages	1941	4551	12006	88	691	5140	993	994	4188	407	578	1068	1283	664	379	76	28	18	16
104	Ayashi no Ceres	7,23	Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo	Ceres, Celestial Legend	______	TV	24	Apr 20, 2000 to Sep 28, 2000	Spring 2000	Bandai Visual	VIZ Media, Discotek Media	Studio Pierrot	Manga	21 min. per ep.	R - 17+ (violence & profanity)	2641	2182	53189	535	2099	31162	2479	3400	14049	2450	3244	5415	6299	3891	2210	923	322	216	149
105	Boys Be...	6,46	Slice of Life, Comedy, Romance, Shounen	Boys Be...	_______	TV	13	Apr 11, 2000 to Jul 4, 2000	Spring 2000	Unknown	Nozomi Entertainment	Hal Film Maker	Manga	23 min. per ep.	PG-13 - Teens 13 or older	6088	3665	20032	41	768	10371	809	1385	6699	293	487	1201	2242	1965	1301	521	206	135	95
106	Hana yori Dango	7,7	Drama, Romance, School, Shoujo	Hana Yori Dango	_____	TV	51	Sep 8, 1996 to Aug 31, 1997	Fall 1996	Unknown	VIZ Media, Discotek Media	Toei Animation	Manga	25 min. per ep.	PG-13 - Teens 13 or older	1027	2293	48623	762	2502	25257	2178	2974	15712	3054	3590	4926	4575	2356	1150	531	184	131	125
107	Ou Dorobou Jing	7,23	Adventure, Comedy, Fantasy, Sci-Fi, Shounen	Jing:King of Bandits	_____ JING	TV	13	May 15, 2002 to Aug 14, 2002	Spring 2002	Aniplex	ADV Films	Studio Deen	Manga	24 min. per ep.	PG-13 - Teens 13 or older	2625	2817	32988	210	1343	16532	1452	1714	11947	1207	1611	2900	3598	2020	1075	433	186	101	56
108	Ou Dorobou Jing in Seventh Heaven	7,29	Adventure, Fantasy, Psychological, Comedy, Shounen	Jing:King of Bandits - Seventh Heaven	_____ JING in Seventh Heaven	OVA	3	Jan 21, 2004 to Apr 28, 2004	Unknown	Aniplex	ADV Films, Funimation	Studio Deen	Manga	30 min. per ep.	PG-13 - Teens 13 or older	2367	4619	11591	29	283	7309	208	159	3632	465	673	1208	1470	746	344	141	42	20	14
109	Bakuretsu Tenshi	6,81	Adventure, Comedy, Mecha, Sci-Fi	Burst Angel	____	TV	24	Apr 7, 2004 to Sep 15, 2004	Spring 2004	GDH, TV Asahi, Imagica	Funimation	Gonzo	Original	23 min. per ep.	PG-13 - Teens 13 or older	4381	1965	62106	257	2789	34321	3539	4492	16965	1383	2510	5383	8232	5547	3386	1514	575	283	185
110	Chuuka Ichiban!	7,63	Action, Comedy, Drama, Shounen	Unknown	____	TV	52	Apr 27, 1997 to Sep 13, 1998	Spring 1997	Unknown	Unknown	Nippon Animation	Manga	23 min. per ep.	PG-13 - Teens 13 or older	1195	4086	15608	107	990	8203	837	817	4761	653	1051	1978	1930	768	313	85	29	12	26
111	Corrector Yui	6,83	Sci-Fi, Adventure, Comedy, Magic	Corrector Yui	________	TV	52	Apr 9, 1999 to Oct 20, 2000	Spring 1999	NHK, Studio Tron	VIZ Media	Nippon Animation	Original	25 min. per ep.	PG - Children	4318	4519	12222	50	463	6825	661	963	3310	288	424	929	1531	1205	635	217	90	32	29
112	Chou Henshin Cosprayers	4,95	Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi	The Cosmopolitan Prayers	_____∞_____	TV	8	Jan 12, 2004 to Mar 1, 2004	Winter 2004	m.o.e.	Unknown	Imagin, Studio Live	Original	14 min. per ep.	PG-13 - Teens 13 or older	10648	5542	7392	5	269	3567	243	568	2745	58	65	159	332	474	547	390	306	258	206
113	Uchuu no Stellvia	7,38	Action, Mecha, Romance, Sci-Fi, Space	Stellvia	_________	TV	26	Apr 3, 2003 to Sep 25, 2003	Spring 2003	Starchild Records, TV Tokyo Music	Discotek Media, Geneon Entertainment USA	Xebec	Original	23 min. per ep.	PG-13 - Teens 13 or older	1980	3577	20924	127	820	10722	957	960	7465	602	1185	2345	2383	1088	624	190	77	32	38
114	Sakigake!! Cromartie Koukou	7,93	Comedy, School, Shounen	Cromartie High School	_!! _______	TV	26	Oct 3, 2003 to Mar 26, 2004	Fall 2003	TV Tokyo Music	ADV Films, Sentai Filmworks, Discotek Media	Production I.G	Manga	12 min. per ep.	PG-13 - Teens 13 or older	631	1279	112001	1561	8242	49634	7970	5164	40991	6849	9462	13308	9330	3951	1749	777	340	190	181
115	El Hazard: The Alternative World	6,83	Adventure, Comedy, Fantasy	Unknown	____________	TV	13	Jan 8, 1998 to Mar 26, 1998	Winter 1998	Pioneer LDC	Geneon Entertainment USA	AIC	Original	25 min. per ep.	PG-13 - Teens 13 or older	4315	4961	9684	10	275	6251	307	352	2499	213	339	820	1383	944	460	158	57	25	19
116	El Hazard: The Wanderers	6,97	Adventure, Comedy, Romance, Fantasy	El-Hazard:The Wanderers	___________	TV	26	Oct 6, 1995 to Mar 29, 1996	Fall 1995	TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa	Nozomi Entertainment, Geneon Entertainment USA	AIC	Original	23 min. per ep.	PG-13 - Teens 13 or older	3735	4198	14603	35	613	8190	628	667	4505	333	526	1268	2070	1145	604	194	75	28	27
117	El Hazard: The Magnificent World	7,32	Adventure, Comedy, Romance, Fantasy	Unknown	___________	OVA	7	May 26, 1995 to Jan 25, 1996	Unknown	Pioneer LDC	Nozomi Entertainment, Geneon Entertainment USA	AIC	Original	34 min. per ep.	PG-13 - Teens 13 or older	2240	4129	15406	91	521	9059	408	352	5066	472	812	1707	2079	1016	451	116	31	17	21
118	El Hazard 2: The Magnificent World	6,85	Adventure, Comedy, Fantasy	Unknown	_____ ______ _2_	OVA	4	Mar 21, 1997 to Oct 25, 1997	Unknown	Pioneer LDC	Geneon Entertainment USA	AIC	Original	30 min. per ep.	PG-13 - Teens 13 or older	4239	5421	7745	5	163	5472	166	120	1824	171	312	708	1243	772	386	135	41	14	9
119	Final Approach	6,56	Comedy, Drama, Romance, Slice of Life	Unknown	_________	TV	13	Oct 3, 2004 to Dec 26, 2004	Fall 2004	Trinet Entertainment	Unknown	Zexcs	Visual novel	14 min. per ep.	PG-13 - Teens 13 or older	5567	2887	31774	48	958	21798	756	1088	7174	706	1106	2476	4634	3714	2099	946	430	219	135
120	Fruits Basket	7,69	Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo	Fruits Basket	_________	TV	26	Jul 5, 2001 to Dec 27, 2001	Summer 2001	TV Tokyo, Nihon Ad Systems, King Records	Funimation	Studio Deen	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1058	314	420919	9504	15410	297921	12910	16709	77969	31688	40622	59206	56487	25501	12518	4273	1538	810	684
121	Fullmetal Alchemist	8,17	Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen	Fullmetal Alchemist	______	TV	51	Oct 4, 2003 to Oct 2, 2004	Fall 2003	Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System	Funimation, Aniplex of America	Bones	Manga	24 min. per ep.	PG-13 - Teens 13 or older	337	52	1151621	26564	52738	880215	41631	38693	138344	124399	176993	211302	133850	44438	16255	5872	1769	970	1150
122	Full Moon wo Sagashite	7,96	Music, Comedy, Supernatural, Drama, Romance, Shoujo	Searching for the Full Moon	_______	TV	52	Apr 6, 2002 to Mar 29, 2003	Spring 2002	Nihon Ad Systems	VIZ Media	Studio Deen	Manga	24 min. per ep.	PG-13 - Teens 13 or older	585	1519	90884	1823	3807	51760	4784	5484	25049	7554	8073	10115	8601	4017	2128	662	301	147	118
123	Fushigi Yuugi	7,64	Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo	Mysterious Play	_____	TV	52	Apr 6, 1995 to Mar 28, 1996	Spring 1995	TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon	Media Blasters, Geneon Entertainment USA	Studio Pierrot	Manga	23 min. per ep.	PG-13 - Teens 13 or older	1172	1434	96861	2277	5124	53674	5497	5964	26602	6725	7328	10308	10558	5267	2796	1106	434	249	184
124	Fushigi Yuugi: Eikouden	6,86	Adventure, Fantasy, Romance, Drama, Shoujo	Mysterious Play:Eikoden	_____ -___	OVA	4	Dec 21, 2001 to Jun 25, 2002	Unknown	Unknown	Media Blasters, Geneon Entertainment USA	Studio Pierrot	Manga	30 min. per ep.	PG-13 - Teens 13 or older	4189	4101	15576	69	257	11630	225	218	3246	844	938	1382	1942	1311	813	459	229	137	86
125	Futakoi	6,49	Comedy, Romance, School	Twin Love	__	TV	13	Oct 6, 2004 to Dec 29, 2004	Fall 2004	Lantis	Unknown	Telecom Animation Film	Original	24 min. per ep.	PG-13 - Teens 13 or older	5946	2900	31358	22	1052	19836	962	1485	8023	554	951	2189	3951	3320	2136	955	400	199	123
126	Futakoi Alternative	6,91	Comedy, Drama, Romance	Unknown	____ _______	TV	13	Apr 7, 2005 to Jun 30, 2005	Spring 2005	Lantis	Unknown	ufotable, feel., Studio Flag	Original	24 min. per ep.	PG-13 - Teens 13 or older	3968	3071	28297	71	1073	13965	1144	1565	10550	560	1097	2174	3058	2019	1125	534	209	112	72
127	Gate Keepers	6,96	Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen	Unknown	________	TV	24	Apr 3, 2000 to Sep 18, 2000	Spring 2000	Media Factory	Geneon Entertainment USA	Gonzo	Game	25 min. per ep.	PG-13 - Teens 13 or older	3767	3717	19351	59	726	11013	941	1182	5489	368	734	1738	2740	1575	850	289	121	54	37
128	Gate Keepers 21	6,79	Action, Drama, Mecha, Sci-Fi, Shounen	Unknown	________21	OVA	6	Apr 24, 2002 to Jan 8, 2003	Unknown	Unknown	Geneon Entertainment USA	Gonzo	Game	30 min. per ep.	PG-13 - Teens 13 or older	4489	5026	9399	23	216	5904	271	273	2735	148	364	769	1295	910	484	166	51	34	19
129	Gensoumaden Saiyuuki	7,59	Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural	Saiyuki	____ ___	TV	50	Apr 4, 2000 to Mar 27, 2001	Spring 2000	TV Tokyo, Dentsu, Group TAC	ADV Films	Studio Pierrot	Manga	23 min. per ep.	R - 17+ (violence & profanity)	1315	2359	46228	833	2628	22100	3188	3069	15243	2047	2974	4914	4998	2227	1164	477	160	95	84
130	Saiyuuki Reload	7,41	Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural	Saiyuki Reload	___RELOAD	TV	25	Oct 2, 2003 to Mar 25, 2004	Fall 2003	Unknown	Geneon Entertainment USA	Studio Pierrot	Manga	23 min. per ep.	PG-13 - Teens 13 or older	1858	3071	28277	116	1224	15616	1186	1189	9062	991	1565	3008	3394	1533	687	239	91	41	44
131	Saiyuuki Reload Gunlock	7,42	Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural	Saiyuki Gunlock	___RELOAD GUNLOCK	TV	26	Apr 2, 2004 to Sep 24, 2004	Spring 2004	Unknown	Geneon Entertainment USA	Studio Pierrot	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1840	3724	19393	51	728	10446	702	519	6998	716	1020	1877	2162	944	439	157	62	20	24
132	GetBackers	7,61	Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural	Getbackers	____________	TV	49	Oct 5, 2002 to Sep 20, 2003	Fall 2002	TBS, Kodansha, Rondo Robe, Rakuonsha	ADV Films, Sentai Filmworks	Studio Deen	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1249	1339	105139	911	5642	55921	8039	7436	28101	4256	7697	13542	13161	5666	2726	877	320	136	108
133	Green Green	6,21	Comedy, Ecchi, Romance, School, Slice of Life	Green Green	________	TV	12	Jul 12, 2003 to Sep 27, 2003	Summer 2003	Pony Canyon, Memory-Tech, Studio Jack	Media Blasters	Studio Matrix	Visual novel	24 min. per ep.	R+ - Mild Nudity	7303	1333	106208	263	2671	79017	2144	5446	16930	2977	4121	8463	13923	12367	8440	4931	2663	2082	1929
134	Gunslinger Girl	7,42	Action, Psychological, Military, Drama, Sci-Fi	Gunslinger Girl	___________	TV	13	Oct 9, 2003 to Feb 19, 2004	Fall 2003	Marvelous, Fuji TV	Funimation	Madhouse	Manga	24 min. per ep.	R - 17+ (violence & profanity)	1821	920	161010	1140	6742	82948	7728	8160	55432	5251	9781	18687	18770	9310	4497	1770	641	294	273
135	Hikaru no Go	8,11	Comedy, Game, Shounen, Supernatural	Hikaru no Go	_____	TV	75	Oct 10, 2001 to Mar 26, 2003	Fall 2001	TV Tokyo, Dentsu, Dream Force	VIZ Media	Studio Pierrot	Manga	23 min. per ep.	PG-13 - Teens 13 or older	400	1287	111164	2186	5480	62705	6454	6700	29825	8488	12124	15895	10584	4099	1818	520	171	84	121
136	Hunter x Hunter	8,42	Action, Adventure, Super Power, Fantasy, Shounen	Hunter x Hunter	HUNTER_HUNTER___________	TV	62	Oct 16, 1999 to Mar 31, 2001	Fall 1999	Fuji TV	VIZ Media	Nippon Animation	Manga	23 min. per ep.	PG-13 - Teens 13 or older	143	319	416227	9525	28061	260968	15535	15100	96563	47419	54430	58285	30731	9392	3638	1134	429	258	756
137	Hunter x Hunter: Original Video Animation	8,33	Action, Adventure, Super Power, Shounen	Unknown	HUNTER_HUNTER Original Video Animation	OVA	8	Jan 17, 2002 to Apr 17, 2002	Unknown	Unknown	Unknown	Nippon Animation	Manga	24 min. per ep.	PG-13 - Teens 13 or older	205	1375	101579	408	2115	80683	832	776	17173	11508	14218	16660	8671	2419	805	184	76	39	337
138	Hunter x Hunter: Greed Island	8,21	Action, Adventure, Super Power, Fantasy, Shounen	Unknown	_________:Greed Island	OVA	8	Feb 5, 2003 to Apr 16, 2003	Unknown	Unknown	Unknown	Nippon Animation	Manga	22 min. per ep.	PG-13 - Teens 13 or older	299	1244	116633	318	2256	98042	833	802	14700	12763	16102	20072	11433	3505	1179	386	160	131	300
139	Hunter x Hunter: Greed Island Final	8,29	Action, Adventure, Super Power, Fantasy, Shounen	Unknown	__________G_I_Final	OVA	14	Mar 3, 2004 to Aug 18, 2004	Unknown	Unknown	Unknown	Nippon Animation	Manga	24 min. per ep.	PG-13 - Teens 13 or older	230	1288	111292	268	2091	92109	827	750	15515	12905	16044	18455	9667	2997	1048	351	155	111	304
141	Jinki:Extend	6,14	Mecha, Sci-Fi	Jinki:Extend	__________	TV	12	Jan 6, 2005 to Mar 24, 2005	Winter 2005	TV Asahi, GANSIS	ADV Films, Funimation	feel.	Manga	23 min. per ep.	R - 17+ (violence & profanity)	7618	4923	9900	10	420	4784	474	699	3523	95	146	451	957	909	710	314	129	76	46
142	Kamikaze Kaitou Jeanne	7,45	Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo	Unknown	________	TV	44	Feb 13, 1999 to Jan 29, 2000	Winter 1999	Unknown	Unknown	Toei Animation	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1746	2363	46140	499	1518	32304	1751	1977	8590	2675	3492	5692	6523	3509	1692	538	167	101	54
143	Kannazuki no Miko	6,87	Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai	Destiny of the Shrine Maiden	______	TV	12	Oct 2, 2004 to Dec 18, 2004	Fall 2004	Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment	Sentai Filmworks, Geneon Entertainment USA	TNK	Manga	24 min. per ep.	PG-13 - Teens 13 or older	4169	2000	60077	767	2269	33411	2025	2994	19378	2385	2784	4804	6447	4552	2848	1593	750	414	297
144	Kanon	7,11	Drama, Romance, Slice of Life, Supernatural	Unknown	___	TV	13	Jan 31, 2002 to Mar 28, 2002	Winter 2002	Movic, Fuji TV, Fujipacific Music	Funimation	Toei Animation	Visual novel	24 min. per ep.	G - All Ages	3174	2105	55784	248	1418	32662	1469	2522	17713	2080	2785	5100	6498	3833	2084	886	450	251	235
145	Kareshi Kanojo no Jijou	7,61	Comedy, Drama, Romance, School, Shoujo, Slice of Life	His and Her Circumstances	_______	TV	26	Oct 2, 1998 to Mar 26, 1999	Fall 1998	TV Tokyo, GANSIS	Nozomi Entertainment	Gainax, J.C.Staff	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1254	875	170539	2188	11136	75368	10132	7994	65909	6330	11119	18489	16634	7499	3331	1230	428	262	209
146	Kono Minikuku mo Utsukushii Sekai	6,76	Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi	This Ugly Yet Beautiful World	__________	TV	12	Apr 2, 2004 to Jun 18, 2004	Spring 2004	Geneon Universal Entertainment, TBS, Rondo Robe, Movic	ADV Films	Gainax, Shaft	Original	24 min. per ep.	R+ - Mild Nudity	4625	2145	54222	178	1995	33816	1909	2381	14121	1514	2347	4842	7311	5021	3079	1446	607	343	197
147	Kimi ga Nozomu Eien	7,24	Drama, Romance, Slice of Life	Rumbling Hearts	______	TV	14	Oct 5, 2003 to Jan 4, 2004	Fall 2003	Lantis, Media Factory, Age	Funimation	Studio Fantasia	Visual novel	23 min. per ep.	R+ - Mild Nudity	2604	1187	123752	1072	3792	75846	3242	4458	36414	6057	9127	14332	14635	8360	4503	2468	1128	771	691
148	Kita e.: Diamond Dust Drops	6,62	Drama, Romance, Slice of Life	Diamond Daydreams	___ _Diamond Dust Drops_	TV	12	Jan 20, 2004 to Apr 5, 2004	Winter 2004	Unknown	ADV Films	Studio Deen	Visual novel	24 min. per ep.	PG-13 - Teens 13 or older	5305	5411	7823	9	345	2781	354	418	3925	106	151	400	688	480	310	124	75	17	20
149	Loveless	6,86	Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai	Loveless	LOVELESS	TV	12	Apr 7, 2005 to Jun 30, 2005	Spring 2005	Bandai Visual, TV Asahi, Movic	Media Blasters	J.C.Staff	Manga	24 min. per ep.	PG-13 - Teens 13 or older	4203	1215	121063	1632	4134	81173	4010	8783	22963	5825	7084	10721	14257	10659	6853	3832	1732	1173	1081
150	Blood+	7,66	Action, Military, Mystery, Horror, Supernatural, Drama, Vampire	Blood+	_______	TV	50	Oct 8, 2005 to Sep 23, 2006	Fall 2005	Aniplex, Mainichi Broadcasting System	Sony Pictures Entertainment	Production I.G	Original	24 min. per ep.	R - 17+ (violence & profanity)	1116	431	317767	4623	17892	163002	20855	20329	95689	16366	23972	36825	34360	16234	8377	3281	1140	595	452
151	Re: Cutey Honey	7,12	Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai	Unknown	Re:_________	OVA	3	Jul 24, 2004 to Sep 25, 2004	Unknown	Toei Video	Unknown	Gainax, Toei Animation	Manga	46 min. per ep.	R+ - Mild Nudity	3130	3430	22697	133	914	10939	588	534	9722	433	903	2314	2742	1446	651	223	98	38	42
152	Solty Rei	7,28	Action, Sci-Fi, Super Power	Unknown	______	TV	24	Oct 7, 2005 to Mar 31, 2006	Fall 2005	AIC, TV Asahi, Sotsu Music Publishing	Funimation	Gonzo	Original	23 min. per ep.	R - 17+ (violence & profanity)	2447	3233	25666	124	1098	13419	1462	1473	8214	730	1303	2914	3287	1692	853	286	111	46	37
153	Juuni Kokuki	8,06	Action, Adventure, Fantasy, Magic, Supernatural	The Twelve Kingdoms	____	TV	45	Apr 9, 2002 to Aug 30, 2003	Spring 2002	Sogo Vision	Media Blasters, Discotek Media, Tokyopop	Studio Pierrot	Novel	25 min. per ep.	PG-13 - Teens 13 or older	464	1266	113627	2261	6948	41705	5871	4897	54206	6014	8974	10809	6879	2926	1462	616	277	146	154
154	Shaman King	7,78	Action, Adventure, Comedy, Super Power, Supernatural, Shounen	Shaman King	________	TV	64	Jul 4, 2001 to Sep 25, 2002	Summer 2001	TV Tokyo, Nihon Ad Systems, TV Tokyo Music	4Kids Entertainment	Xebec	Manga	23 min. per ep.	PG-13 - Teens 13 or older	853	477	294021	3672	11999	208822	11722	13069	48409	22092	27013	45643	41073	16854	6947	2045	797	342	254
